ID,linker
312,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
313,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
314,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
315,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
316,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
317,[O-]C(=O)C1CCC(C1(C)C)(C)C(=O)[O-]
318,NCCC[C]N
319,[O-]C(=O)c1ccc(c(c1)C(=O)[O-])[O]
320,N1=C[N]N([CH]1)Cc1ccc(cc1)CN1[N]C=N[CH]1
321,FC(S([O])([O])[O])(F)F
322,[O-]C(=O)C[NH]1CCCN(CC[NH](CCCN(CC1)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
323,O=C(c1ccncc1)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
324,[C]#N
325,O=C(c1cncc(c1)C(=O)Nc1cccnc1)Nc1cccnc1
326,O=C(c1ccncc1)[N]c1ccncc1
327,[C]#N
328,[O-]C(=O)c1nccnc1C(=O)[O-]
329,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
330,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
331,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
332,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
333,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
334,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
335,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-]
336,CC(=O)[CH]C(=O)c1ccc(cc1)c1ccncc1
337,[O-]C(=O)C1CCC(CC1)C(=O)[O-]
338,[O-]C(=O)C1CCC(CC1)C(=O)[O-]
339,[O-]C(=O)c1ccncc1
340,[O-]C(=O)c1ccncc1
341,[N]1N=NC(=N1)c1cc(cc(c1)C1=NN=N[N]1)C1=NN=N[N]1
342,CC(P(=O)([O])[O])(P(=O)([O])[O])O
343,CC(P(=O)([O])[O])(P(=O)([O])[O])O
344,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
345,[O-]C=O
346,[O-]C=O
347,[O-]C=O
348,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
349,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
350,[C]#N
351,[C]#N
352,[C]#N
353,[C]#N
354,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
355,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]
356,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
357,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
358,[O-]C(=O)c1ccc(cc1)C(=O)[O-]
359,[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-]
360,[O-]C(=O)c1cccc(c1)C(=O)[O-]
361,Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-]
362,[O-]C(=O)c1cc(cc(c1)C(C)(C)C)C(=O)[O-]
