ID,ratio,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
402,0.025,47,107.9,1.65,4.44,6.3,126
403,0.020979021,27,58.93,1.52,4.27,6.8,64
404,0.090909091,30,65.58,1.42,3.69,7.08,-60
405,0.083333333,4,9.012,1.12,4.81,5.6,-50
406,0.032258065,25,54.94,1.61,3.47,8.6,-50
407,0.032258065,48,112.4,1.61,3.8,6,-70
408,0.032258065,25,54.94,1.61,3.47,8.6,-50
409,0.024,29,63.55,1.45,4.48,6.1,119
410,0.024,29,63.55,1.45,4.48,6.1,119
411,0.037037037,59,141,2.47,3.22,34,11
412,0.03030303,48,112.4,1.61,3.8,6,-70
413,0.023952096,30,65.58,1.42,3.69,7.08,-60
414,0.025641026,48,112.4,1.61,3.8,6,-70
415,0.025641026,48,112.4,1.61,3.8,6,-70
416,0.025641026,29,63.55,1.45,4.48,6.1,119
417,0.025641026,27,58.93,1.52,4.27,6.8,64
418,0.042553191,60,144,2.06,3.25,32,9
419,0.05,64,157,2.33,3.45,26,13
420,0.05,62,150.5,2.38,3.35,29,16
421,0.05,58,140,2.1,3.25,36,55
422,0.028169014,29,63.55,1.45,4.48,6.1,119
423,0.025316456,49,114.8,1.56,3.04,4.5,37
424,0.0625,27,58.93,1.52,4.27,6.8,64
425,0.027777778,47,107.9,1.65,4.44,6.3,126
426,0.08,42,95.96,1.9,3.92,13,72
427,0.015384615,30,65.58,1.42,3.69,7.08,-60
428,0.063492063,30,65.58,1.42,3.69,7.08,-60
429,0.045454545,69,169,2.22,3.61,22,99
430,0.027027027,30,65.58,1.42,3.69,7.08,-60
431,0.028571429,30,65.58,1.42,3.69,7.08,-60
432,0.027027027,30,65.58,1.42,3.69,7.08,-60
433,0.071428571,27,58.93,1.52,4.27,6.8,64
434,0.037037037,30,65.58,1.42,3.69,7.08,-60
435,0.037383178,30,65.58,1.42,3.69,7.08,-60
436,0.054545455,37,85.47,2.65,2.33,47.3,47
437,0.020408163,57,139,2.26,3.02,37,54
438,0.062937063,28,58.69,1.49,4.4,6.5,112
439,0.038461538,27,58.93,1.52,4.27,6.8,64
440,0.0625,27,58.93,1.52,4.27,6.8,64
441,0.035714286,59,141,2.47,3.22,34,11
442,0.046511628,56,137.3,2.53,2.68,39.7,14
443,0.04,28,58.69,1.49,4.4,6.5,112
444,0.052631579,27,58.93,1.52,4.27,6.8,64
445,0.04109589,28,58.69,1.49,4.4,6.5,112
446,0.076923077,30,65.58,1.42,3.69,7.08,-60
447,0.076923077,30,65.58,1.42,3.69,7.08,-60
448,0.058823529,25,54.94,1.61,3.47,8.6,-50
449,0.058823529,25,54.94,1.61,3.47,8.6,-50
450,0.058823529,25,54.94,1.61,3.47,8.6,-50
451,0.058823529,25,54.94,1.61,3.47,8.6,-50
452,0.058823529,25,54.94,1.61,3.47,8.6,-50
453,0.058823529,25,54.94,1.61,3.47,8.6,-50
454,0.058823529,25,54.94,1.61,3.47,8.6,-50
455,0.058823529,25,54.94,1.61,3.47,8.6,-50
456,0.058823529,25,54.94,1.61,3.47,8.6,-50
457,0.085365854,47,107.9,1.65,4.44,6.3,126
458,0.085365854,47,107.9,1.65,4.44,6.3,126
459,0.034482759,30,65.58,1.42,3.69,7.08,-60
