Order,PLD,LCD,Void,Surface[m^2/g],Pore_Volume[cm^3/g],Density[cm^3/g]
342,4.50208,5.06488,0.189632,60.600329,0.07172027,0.378207657
343,5.69127,6.28138,0.425271,386.012896,0.18173759,0.427345356
344,3.78091,4.3006,0.0118492,0,0.00953192,0.804435491
345,3.83722,4.88494,0.0311775,0,0.01758681,0.56408672
346,3.7212,4.62683,0.0204612,0,0.01108781,0.541894448
347,3.81542,4.80178,0.0297145,0,0.0165615,0.557354038
348,5.84808,8.3485,0.215668,631.967001,0.26646598,1.235537855
349,8.16198,15.06732,0.476155,2456.982017,0.802695,1.685785089
350,4.27416,5.17822,0.33645,71.504601,0.15054639,0.44745545
351,4.32841,5.15287,0.34719,117.302188,0.15872521,0.45717102
352,4.20551,4.98319,0.335635,84.38064,0.1253931,0.373599587
353,4.02338,4.82894,0.346251,95.789316,0.11500929,0.332155841
354,4.99829,5.82205,0.230506,58.76264,0.19083602,0.827900428
355,8.73207,10.10994,0.33532,1532.437119,0.49289987,1.469938761
356,7.02469,7.21467,0.179301,390.829301,0.1900788,1.060110102
357,6.8495,7.08696,0.177745,366.558414,0.18731991,1.05386882
358,7.0679,7.3836,0.180916,417.223069,0.19233834,1.063136133
359,3.523,4.58767,0.0886215,0,0.0599224,0.67616092
360,5.00357,6.36084,0.237005,49.320401,0.19507166,0.823069824
361,6.94093,8.03602,0.160145,316.949069,0.12867878,0.803514177
362,8.51048,11.06416,0.220738,539.521228,0.22711384,1.028884193
363,3.67146,5.07227,0.0462662,0,0.03121959,0.674781804
364,3.47585,5.0241,0.0363006,0,0.02669908,0.735499652
365,3.65208,5.08538,0.0460205,0,0.03075457,0.66827973
366,3.62546,5.03722,0.0436761,0,0.02889926,0.661672267
367,3.58732,5.01595,0.0409329,0,0.02644883,0.646151004
368,3.5539,4.99778,0.0391158,0,0.02477041,0.633258369
369,3.54196,4.98337,0.0367809,0,0.02282831,0.620656605
370,3.52557,5.00818,0.0359475,0,0.02196751,0.61109967
371,3.50773,5.01392,0.0358143,0,0.02179856,0.608655132
372,5.4532,7.39236,0.197625,456.177536,0.2028758,1.026569496
373,3.65807,5.17034,0.0135602,0,0.01160955,0.856149042
374,5.05212,5.71826,0.0695061,0,0.05429244,0.781117583
375,5.12514,5.90396,0.0723378,0,0.05689538,0.786523558
376,3.41785,5.34489,0.106092,0,0.09067398,0.854673113
377,6.25227,6.82506,0.147932,80.607656,0.09758053,0.65963101
378,4.65855,6.60629,0.236762,146.026481,0.21856511,0.923142696
